"CUADRO 1.2 COSTA RICA: JUNTAS, ELECTORADO, PARTICIPACIÓN, VOTOS POR PARTIDO, NULOS, BLANCOS Y ABSTENCIONISMO PARA PRESIDENCIA
Y VICEPRESIDENCIAS DE LA REPÚBLICA, SEGÚN  PROVINCIA Y CANTÓN
 ELECCIONES 7 DE FEBRERO 2010",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PROVINCIA Y CANTÓN,JUNTAS,ELECTORADO,VOTOS RECIBIDOS,,,,,,,,,,,,,,ABSTENCIONISMO,
,,,TOTAL GENERAL,"%
PARTICIPACIÓN",VOTOS VÁLIDOS,,,,,,,,,,NULOS,BLANCOS,ABSOLUTO,%
,,,,,TOTAL,UNIDAD SOCIAL CRISTIANA,INTEGRACIÓN NACIONAL,"ALIANZA
PATRIÓTICA",RENOVACIÓN COSTARRICENSE,FRENTE AMPLIO,LIBERACIÓN NACIONAL,MOVIMIENTO LIBERTARIO,"ACCIÓN
CIUDADANA",ACCESIBILIDAD SIN EXCLUSIÓN,,,,
,,,,,,,,,,,,,,,,,,
LOS CHILES,28,9004,5801,64.42692137,5633,282,6,13,98,9,2250,1462,1462,51,139,29,3203,35.57307863
GUATUSO,25,8729,5699,65.28812006,5488,363,3,13,109,15,2617,1378,910,80,180,31,3030,34.71187994
,,,,,,,,,,,,,,,,,,
PROVINCIA CARTAGO,746,328782,243705,74.12358341,239146,10143,240,388,977,937,118926,46414,56095,5026,3763,796,85077,25.87641659
,,,,,,,,,,,,,,,,,,
CARTAGO,223,104564,79840,76.35515091,78498,2861,79,101,316,391,40298,14738,18176,1538,1126,216,24724,23.64484909
PARAÍSO,87,39163,28997,74.04182519,28389,1366,19,47,103,115,13033,6026,7079,601,488,120,10166,25.95817481
LA UNIÓN,123,57841,41471,71.69827631,40756,1638,57,67,240,164,18046,8093,11334,1117,623,92,16370,28.30172369
JIMÉNEZ,28,10397,7787,74.89660479,7581,416,9,13,25,12,4144,1264,1526,172,146,60,2610,25.10339521
TURRIALBA,140,51433,36209,70.40032664,35464,1787,33,78,120,99,18415,6490,7871,571,600,145,15224,29.59967336
ALVARADO,21,8510,6265,73.61927145,6124,281,4,10,17,11,3035,1078,1579,109,107,34,2245,26.38072855
OREAMUNO,64,30006,22354,74.49843365,21937,788,22,43,81,73,11186,4491,4797,456,355,62,7652,25.50156635
EL GUARCO,60,26868,20782,77.34851868,20397,1006,17,29,75,72,10769,4234,3733,462,318,67,6086,22.65148132
,,,,,,,,,,,,,,,,,,
PROVINCIA HEREDIA,604,278544,203705,73.13207249,200493,6382,165,288,1164,905,93471,39016,55425,3677,2644,568,74839,26.86792751
,,,,,,,,,,,,,,,,,,
HEREDIA,176,84511,61372,72.62013229,60598,1939,51,64,250,335,29625,10412,16836,1086,638,136,23139,27.37986771
BARVA,58,26982,20374,75.50959899,20089,459,20,38,92,128,8569,3917,6500,366,237,48,6608,24.49040101
SANTO DOMINGO,63,30208,22877,75.73159428,22592,638,22,18,99,88,10469,3970,6808,480,230,55,7331,24.26840572
SANTA BÁRBARA,48,22277,16419,73.70382008,16146,459,14,34,93,79,7111,3743,4270,343,225,48,5858,26.29617992
SAN RAFAEL,62,29077,20853,71.71647694,20485,575,20,20,82,94,9076,4324,5930,364,284,84,8224,28.28352306
SAN ISIDRO,28,12800,9545,74.5703125,9374,290,3,11,38,22,4537,1444,2844,185,128,43,3255,25.4296875
BELÉN,32,15687,12012,76.5729585,11847,558,4,10,21,31,6152,2137,2742,192,136,29,3675,23.4270415
FLORES,27,13404,10271,76.62638019,10116,334,5,27,39,26,5183,1873,2477,152,121,34,3133,23.37361981
SAN PABLO,38,17791,13469,75.70681805,13304,696,9,17,61,51,6145,2065,4022,238,143,22,4322,24.29318195
SARAPIQUÍ,72,25807,16513,63.98651529,15942,434,17,49,389,51,6604,5131,2996,271,502,69,9294,36.01348471
,,,,,,,,,,,,,,,,,,
PROVINCIA  GUANACASTE,550,199237,131940,66.22263937,128125,7777,97,305,1510,373,65843,29841,20341,2038,3063,752,67297,33.77736063
,,,,,,,,,,,,,,,,,,
LIBERIA,84,36952,22680,61.37692141,22097,1466,18,34,258,47,9942,5132,4250,950,466,117,14272,38.62307859
NICOYA,106,34993,24486,69.9739948,23722,1728,18,57,161,105,12875,5603,2921,254,615,149,10507,30.0260052
SANTA CRUZ,89,33780,22655,67.06631143,21879,1279,15,47,222,69,11650,4991,3379,227,628,148,11125,32.93368857
BAGACES,31,10928,7050,64.51317716,6872,333,5,22,154,5,3324,1292,1659,78,140,38,3878,35.48682284
CARRILLO,47,19540,12272,62.80450358,11939,896,8,22,193,34,6618,2800,1213,155,262,71,7268,37.19549642
CAÑAS,42,17069,10691,62.63401488,10433,663,5,13,162,23,5520,2141,1766,140,203,55,6378,37.36598512
